athlete_id,full_name,age_group,country,bib_number,race_name,race_date,swim_time,bike_time,run_time,finish_time,overall_place
IM-2020-156703,Marcus Chen,M30-34,USA,142,IRONMAN St. George 70.3,2024-05-04,0:32:18,2:48:45,1:42:30,5:08:11,47
IM-2017-066189,Jennifer Patel,F35-39,USA,358,IRONMAN St. George 70.3,2024-05-04,0:38:42,3:05:18,1:55:22,5:46:28,89
IM-2019-103312,Lisa Nakamura,F35-39,USA,412,IRONMAN St. George 70.3,2024-05-04,0:35:50,2:52:33,1:48:15,5:20:44,71
IM-2021-189203,Amanda Reyes,F30-34,USA,287,IRONMAN St. George 70.3,2024-05-04,0:33:25,2:45:52,1:38:40,5:01:18,62
IM-2015-041288,David Rodriguez,M40-44,USA,521,IRONMAN Texas,2024-04-27,1:02:14,5:08:33,3:42:18,9:58:42,124
IM-2014-029445,Michael O'Brien,M45-49,USA,678,IRONMAN Texas,2024-04-27,1:08:55,5:32:11,4:02:48,10:51:33,287
IM-2018-091775,Rachel Kim,F35-39,USA,432,IRONMAN Texas,2024-04-27,1:11:22,5:48:15,4:18:40,11:25:48,412
IM-2020-148820,Priya Krishnan,F35-39,USA,589,IRONMAN Texas,2024-04-27,1:15:08,5:55:42,4:28:33,11:48:11,487
IM-2017-066189,Jennifer Patel,F35-39,USA,245,IRONMAN Coeur d'Alene,2024-06-23,1:12:15,5:52:38,4:25:11,11:38:28,398
IM-2022-201144,Michael Foster,M30-34,USA,312,IRONMAN Coeur d'Alene,2024-06-23,1:00:42,5:02:18,3:38:55,9:48:17,89
IM-2021-189203,Amanda Reyes,F30-34,USA,388,IRONMAN Coeur d'Alene,2024-06-23,1:08:33,5:38:42,4:08:15,11:02:18,245
IM-2014-031007,Thomas Anderson,M40-44,USA,411,IRONMAN Coeur d'Alene,2024-06-23,1:05:18,5:18:42,3:55:33,10:28:55,156
IM-2018-088421,Sarah Mitchell,F35-39,USA,156,IRONMAN Lake Placid,2024-07-21,1:08:42,5:42:18,4:08:33,11:08:55,312
IM-2020-156703,Marcus Chen,M30-34,USA,89,IRONMAN Lake Placid,2024-07-21,1:02:15,5:18:42,3:48:18,10:18:33,145
IM-2017-066189,Jennifer Patel,F35-39,USA,421,IRONMAN Lake Placid,2024-07-21,1:14:22,5:58:33,4:32:18,11:55:42,425
IM-2021-178902,Emma Thompson,F30-34,GBR,588,IRONMAN Lake Placid,2024-07-21,1:09:55,5:48:11,4:15:42,11:22:18,378
IM-2018-091775,Rachel Kim,F35-39,USA,244,IRONMAN Lake Placid,2024-07-21,1:13:08,5:52:18,4:22:55,11:38:42,412
IM-2017-077812,John Smith,M40-44,USA,367,IRONMAN Lake Placid,2024-07-21,1:05:42,5:32:11,3:58:33,10:48:18,232
IM-2022-198556,Nina Volkov,F30-34,RUS,612,IRONMAN Lake Placid,2024-07-21,1:11:18,5:55:42,4:25:11,11:42:55,445
IM-2024-230004,Tyler Brennan,M25-29,USA,488,IRONMAN Lake Placid,2024-07-21,1:06:33,,,,DNF
IM-2018-088421,Sarah Mitchell,F35-39,USA,1142,IRONMAN World Championship Kona,2024-10-26,1:05:18,5:32:42,3:55:18,10:42:33,218
IM-2015-041288,David Rodriguez,M40-44,USA,1287,IRONMAN World Championship Kona,2024-10-26,0:58:42,4:55:18,3:32:11,9:32:55,87
IM-2014-029445,Michael O'Brien,M45-49,USA,1455,IRONMAN World Championship Kona,2024-10-26,1:06:33,5:28:55,3:58:42,10:42:18,245
IM-2016-052098,Christopher Walsh,M40-44,USA,1189,IRONMAN World Championship Kona,2024-10-26,1:02:18,5:18:42,3:48:55,10:18:42,178
IM-2023-220011,John Smith,M25-29,CAN,1622,IRONMAN World Championship Kona,2024-10-26,0:55:33,4:48:11,3:25:42,9:18:55,65
IM-2014-031007,Thomas Anderson,M40-44,USA,1377,IRONMAN World Championship Kona,2024-10-26,1:01:55,5:12:18,3:42:33,10:05:18,142
