member_number,last_name,first_name,dob,age_group_2024,region,email
USAT-1124883,Mitchell,Sarah,03/14/1987,F35-39,PAC,sarah.mitchell@email.com
USAT-1198044,Chen,Marcus,08/22/1990,M30-34,PAC,mchen@example.com
USAT-1089731,Patel,Jennifer,11/02/1985,F35-39,NE,jpatel.tri@email.com
USAT-1034556,Rodriguez,David,06/18/1982,M40-44,SW,drod@example.com
USAT-9990012,Thompson,Emma,01/30/1993,F30-34,NE,
USAT-1011228,o'brien,Michael,09/12/1979,M45-49,MID,mobrien.tri@example.com
USAT-1156889,Nakamura,Lisa,04/25/1988,F35-39,PAC,lisa.nakamura@email.com
USAT-1234501,Foster,Mike,07/08/1991,M30-34,MTN,mike.foster@example.com
USAT-1118822,Kim,Rachel,12/19/1986,F35-39,NE,rachel.kim@email.com
USAT-1067443,Walsh,Christopher,05/03/1984,M40-44,GL,cwalsh@example.com
USAT-1212077,Reyes,Amanda,10/15/1992,F30-34,SW,areyes@email.com
USAT-1098344,Smith,John,02/28/1983,M40-44,SE,jsmith.endurance@email.com
USAT-9990047,Smith,John,07/19/1995,M25-29,NE,johnsmith.ca@example.com
USAT-1182266,Krishnan,Priya,09/06/1989,F35-39,MTN,pkrishnan@example.com
USAT-1019988,Anderson,Thomas,11/23/1981,M40-44,PAC,thomas.anderson@email.com
USAT-1259014,Bennett,Olivia,03/11/1994,F30-34,NW,obennett@example.com
USAT-1117755,Park,Daniel,08/04/1987,M35-39,PAC,
USAT-9990089,Volkov,Nina,12/01/1990,F30-34,NE,
